cell_id,rainfall_2015,rainfall_2016,rainfall_2017,rainfall_2018,rainfall_2019,rainfall_2020,rainfall_2021,rainfall_2022,rainfall_2023,rainfall_2024,rainfall_mean,rainfall_anomaly
620,1179.8,691.4,1070.8,919.5,993.8,1129.5,1464.4,1269.7,801.0,1128.2,1064.8100000000002,63.38999999999987
625,1179.8,691.4,1209.7,1008.5,1027.6,1236.3,1431.8,1337.8,882.6,1237.4,1124.29,113.11000000000013
630,1179.8,691.4,1209.7,1008.5,1027.6,1236.3,1431.8,1337.8,882.6,1237.4,1124.29,113.11000000000013
635,1179.8,691.4,1256.5,1028.5,996.6,1233.7,1390.3,1261.3,839.6,1191.0,1106.8700000000001,84.12999999999988
640,1236.8,687.8,1256.5,1028.5,996.6,1233.7,1390.3,1261.3,839.6,1191.0,1112.21,78.78999999999996
645,1236.8,687.8,1079.9,930.1,882.3,1182.7,1302.0,1096.4,695.2,1024.4,1011.76,12.6400000000001
650,1236.8,687.8,983.2,836.2,800.3,1039.1,1247.5,1003.4,724.9,965.0,952.4199999999998,12.580000000000155
655,1236.8,687.8,983.2,836.2,800.3,1039.1,1247.5,1003.4,724.9,965.0,952.4199999999998,12.580000000000155
660,1236.8,687.8,923.0,862.1,778.4,973.2,1262.2,1024.8,734.1,1001.4,948.3799999999999,53.020000000000095
750,1179.8,691.4,1125.6,926.2,1044.3,1185.0,1475.7,1252.1,816.7,1190.1,1088.69,101.40999999999985
755,1179.8,691.4,1171.9,1041.7,1077.1,1252.7,1486.3,1331.0,859.9,1192.6,1128.44,64.15999999999985
760,1179.8,691.4,1171.9,1041.7,1077.1,1252.7,1486.3,1331.0,859.9,1192.6,1128.44,64.15999999999985
765,1179.8,691.4,1177.1,1017.7,998.0,1247.9,1401.7,1264.6,825.9,1143.4,1094.7499999999998,48.65000000000032
770,1179.8,691.4,1177.1,1017.7,998.0,1247.9,1401.7,1264.6,825.9,1143.4,1094.7499999999998,48.65000000000032
775,1236.8,687.8,1012.7,893.8,850.2,1120.3,1306.9,1063.7,694.6,1010.5,987.7299999999999,22.770000000000095
780,1236.8,687.8,1012.7,893.8,850.2,1120.3,1306.9,1063.7,694.6,1010.5,987.7299999999999,22.770000000000095
785,1236.8,687.8,947.7,806.9,756.2,1042.2,1227.7,939.4,710.7,983.1,933.85,49.25
790,1236.8,687.8,947.7,806.9,756.2,1042.2,1227.7,939.4,710.7,983.1,933.85,49.25
795,1236.8,687.8,874.9,765.9,750.4,1027.3,1219.2,932.3,731.3,964.4,919.03,45.370000000000005
800,1236.8,687.8,874.9,765.9,750.4,1027.3,1219.2,932.3,731.3,964.4,919.03,45.370000000000005
805,1088.2,643.4,1090.0,882.2,1010.8,1129.6,1520.8,1175.5,830.4,1160.5,1053.1399999999999,107.36000000000013
810,1088.2,643.4,1090.0,882.2,1010.8,1129.6,1520.8,1175.5,830.4,1160.5,1053.1399999999999,107.36000000000013
815,1179.8,691.4,1125.6,926.2,1044.3,1185.0,1475.7,1252.1,816.7,1190.1,1088.69,101.40999999999985
820,1179.8,691.4,1125.6,926.2,1044.3,1185.0,1475.7,1252.1,816.7,1190.1,1088.69,101.40999999999985
825,1179.8,691.4,1171.9,1041.7,1077.1,1252.7,1486.3,1331.0,859.9,1192.6,1128.44,64.15999999999985
830,1179.8,691.4,1171.9,1041.7,1077.1,1252.7,1486.3,1331.0,859.9,1192.6,1128.44,64.15999999999985
835,1179.8,691.4,1177.1,1017.7,998.0,1247.9,1401.7,1264.6,825.9,1143.4,1094.7499999999998,48.65000000000032
840,1236.8,687.8,1012.7,893.8,850.2,1120.3,1306.9,1063.7,694.6,1010.5,987.7299999999999,22.770000000000095
