cell_id,ndvi_2015,ndvi_2018,ndvi_2021,ndvi_2024,ndvi_change_2015_2018,ndvi_change_2018_2021,ndvi_change_2021_2024,ndvi_total_change
336,0.8283,0.2279,-0.0915,-0.0013,-0.6004,-0.3194,0.0902,-0.8296
337,0.8156,0.2301,0.245,0.1694,-0.5855,0.014899999999999997,-0.0756,-0.6462
338,0.6594,0.1859,0.4983,0.148,-0.4735,0.3124,-0.35030000000000006,-0.5114
339,0.6667,0.1209,0.4574,0.1881,-0.5458,0.33649999999999997,-0.2693,-0.47859999999999997
340,0.5295,0.1335,0.3574,0.0845,-0.39599999999999996,0.2239,-0.2729,-0.44499999999999995
341,0.204,0.1615,0.8208,0.4161,-0.04249999999999998,0.6593,-0.40469999999999995,0.21210000000000004
342,0.6257,0.1131,0.4433,0.2296,-0.5126000000000001,0.33020000000000005,-0.21370000000000003,-0.3961
343,0.784,0.1685,0.7632,0.3292,-0.6155,0.5947,-0.434,-0.45480000000000004
344,0.683,0.1205,0.5464,0.2902,-0.5625,0.4259,-0.2562,-0.39280000000000004
345,0.7956,0.1654,0.7842,0.2191,-0.6302,0.6188,-0.5651,-0.5765
346,0.8558,0.2094,0.6175,0.3358,-0.6464,0.4081,-0.28170000000000006,-0.52
347,0.8344,0.3645,0.1983,0.1129,-0.46990000000000004,-0.1662,-0.0854,-0.7215
348,0.4783,0.2738,0.4052,0.2411,-0.20450000000000002,0.13140000000000002,-0.1641,-0.2372
349,0.7899,0.5863,0.5269,0.3926,-0.2036,-0.05940000000000001,-0.13430000000000003,-0.39730000000000004
350,0.2857,,,,,,,
351,0.7469,,,,,,,
352,0.5153,,,,,,,
353,0.5896,,,,,,,
354,0.6023,,,,,,,
355,0.4635,,,,,,,
356,0.852,,,,,,,
357,0.8317,,,,,,,
358,0.6959,,,,,,,
359,0.5096,,,,,,,
360,0.7094,,,,,,,
361,0.6319,,,,,,,
362,0.7171,,,,,,,
363,0.808,,,,,,,
364,0.8223,,,,,,,
365,0.8523,,,,,,,
366,0.4058,,,,,,,
367,0.7904,,,,,,,
368,0.7727,,,,,,,
369,0.6122,,,,,,,
370,0.3531,,,,,,,
371,0.5304,,,,,,,
372,0.7006,,,,,,,
373,0.6493,,,,,,,
374,0.5983,,,,,,,
375,0.3839,,,,,,,
376,0.4497,,,,,,,
377,0.2397,,,,,,,
378,0.3039,,,,,,,
379,0.6946,,,,,,,
380,0.6544,,,,,,,
381,0.1973,,,,,,,
382,0.6921,,,,,,,
383,0.5604,,,,,,,
384,0.5366,,,,,,,
385,0.4484,,,,,,,
386,0.4085,,,,,,,
387,0.6905,,,,,,,
388,0.4735,,,,,,,
389,0.545,,,,,,,
390,0.2309,,,,,,,
391,0.4321,,,,,,,
392,0.4662,,,,,,,
393,0.5512,,,,,,,
394,0.3913,,,,,,,
395,0.6796,,,,,,,
396,0.2752,,,,,,,
397,0.4911,,,,,,,
