cell_id,center_lat,center_lon
437,12.7585,77.6195
438,12.7585,77.6285
439,12.7585,77.6375
440,12.7585,77.6465
441,12.7585,77.6555
442,12.7585,77.6645
443,12.7585,77.6735
444,12.7585,77.6825
445,12.7585,77.6915
446,12.7585,77.7005
447,12.7585,77.7095
448,12.7585,77.7185
449,12.7585,77.7275
450,12.7585,77.7365
451,12.7585,77.7455
452,12.7585,77.7545
453,12.7585,77.7635
454,12.7585,77.7725
455,12.7585,77.7815
456,12.7585,77.7905
457,12.7585,77.7995
458,12.7585,77.8085
459,12.7585,77.8175
460,12.7585,77.8265
461,12.7585,77.8355
462,12.7585,77.8445
463,12.7585,77.8535
464,12.7585,77.8625
465,12.7585,77.8715
466,12.7585,77.8805
467,12.7585,77.8895
468,12.7585,77.8985
469,12.7675,77.3045
470,12.7675,77.3135
471,12.7675,77.3225
472,12.7675,77.3315
473,12.7675,77.3405
474,12.7675,77.3495
475,12.7675,77.3585
476,12.7675,77.3675
477,12.7675,77.3765
478,12.7675,77.3855
479,12.7675,77.3945
480,12.7675,77.4035
481,12.7675,77.4125
482,12.7675,77.4215
483,12.7675,77.4305
484,12.7675,77.4395
485,12.7675,77.4485
486,12.7675,77.4575
487,12.7675,77.4665
488,12.7675,77.4755
489,12.7675,77.4845
490,12.7675,77.4935
491,12.7675,77.5025
492,12.7675,77.5115
493,12.7675,77.5205
494,12.7675,77.5295
495,12.7675,77.5385
496,12.7675,77.5475
497,12.7675,77.5565
498,12.7675,77.5655
499,12.7675,77.5745
500,12.7675,77.5835
501,12.7675,77.5925
502,12.7675,77.6015
503,12.7675,77.6105
504,12.7675,77.6195
505,12.7675,77.6285
506,12.7675,77.6375
507,12.7675,77.6465
508,12.7675,77.6555
509,12.7675,77.6645
510,12.7675,77.6735
511,12.7675,77.6825
512,12.7675,77.6915
513,12.7675,77.7005
514,12.7675,77.7095
515,12.7675,77.7185
516,12.7675,77.7275
517,12.7675,77.7365
518,12.7675,77.7455
519,12.7675,77.7545
520,12.7675,77.7635
521,12.7675,77.7725
522,12.7675,77.7815
523,12.7675,77.7905
524,12.7675,77.7995
525,12.7675,77.8085
526,12.7675,77.8175
527,12.7675,77.8265
528,12.7675,77.8355
529,12.7675,77.8445
530,12.7675,77.8535
531,12.7675,77.8625
532,12.7675,77.8715
533,12.7675,77.8805
534,12.7675,77.8895
535,12.7675,77.8985
536,12.7765,77.3045
537,12.7765,77.3135
538,12.7765,77.3225
539,12.7765,77.3315
540,12.7765,77.3405
541,12.7765,77.3495
542,12.7765,77.3585
543,12.7765,77.3675
544,12.7765,77.3765
545,12.7765,77.3855
546,12.7765,77.3945
547,12.7765,77.4035
548,12.7765,77.4125
549,12.7765,77.4215
550,12.7765,77.4305
551,12.7765,77.4395
552,12.7765,77.4485
553,12.7765,77.4575
554,12.7765,77.4665
555,12.7765,77.4755
556,12.7765,77.4845
557,12.7765,77.4935
558,12.7765,77.5025
559,12.7765,77.5115
560,12.7765,77.5205
561,12.7765,77.5295
562,12.7765,77.5385
563,12.7765,77.5475
564,12.7765,77.5565
565,12.7765,77.5655
566,12.7765,77.5745
567,12.7765,77.5835
568,12.7765,77.5925
569,12.7765,77.6015
570,12.7765,77.6105
571,12.7765,77.6195
572,12.7765,77.6285
573,12.7765,77.6375
574,12.7765,77.6465
575,12.7765,77.6555
576,12.7765,77.6645
577,12.7765,77.6735
578,12.7765,77.6825
579,12.7765,77.6915
580,12.7765,77.7005
581,12.7765,77.7095
582,12.7765,77.7185
583,12.7765,77.7275
584,12.7765,77.7365
585,12.7765,77.7455
586,12.7765,77.7545
587,12.7765,77.7635
588,12.7765,77.7725
589,12.7765,77.7815
590,12.7765,77.7905
591,12.7765,77.7995
592,12.7765,77.8085
593,12.7765,77.8175
594,12.7765,77.8265
595,12.7765,77.8355
596,12.7765,77.8445
597,12.7765,77.8535
598,12.7765,77.8625
599,12.7765,77.8715
600,12.7765,77.8805
601,12.7765,77.8895
602,12.7765,77.8985
603,12.7855,77.3045
604,12.7855,77.3135
605,12.7855,77.3225
606,12.7855,77.3315
607,12.7855,77.3405
608,12.7855,77.3495
609,12.7855,77.3585
610,12.7855,77.3675
611,12.7855,77.3765
612,12.7855,77.3855
613,12.7855,77.3945
614,12.7855,77.4035
615,12.7855,77.4125
616,12.7855,77.4215
617,12.7855,77.4305
618,12.7855,77.4395
619,12.7855,77.4485
620,12.7855,77.4575
621,12.7855,77.4665
622,12.7855,77.4755
623,12.7855,77.4845
624,12.7855,77.4935
625,12.7855,77.5025
626,12.7855,77.5115
627,12.7855,77.5205
628,12.7855,77.5295
629,12.7855,77.5385
630,12.7855,77.5475
631,12.7855,77.5565
632,12.7855,77.5655
633,12.7855,77.5745
634,12.7855,77.5835
635,12.7855,77.5925
636,12.7855,77.6015
637,12.7855,77.6105
638,12.7855,77.6195
639,12.7855,77.6285
640,12.7855,77.6375
641,12.7855,77.6465
642,12.7855,77.6555
643,12.7855,77.6645
644,12.7855,77.6735
645,12.7855,77.6825
646,12.7855,77.6915
647,12.7855,77.7005
648,12.7855,77.7095
649,12.7855,77.7185
650,12.7855,77.7275
651,12.7855,77.7365
652,12.7855,77.7455
653,12.7855,77.7545
654,12.7855,77.7635
655,12.7855,77.7725
656,12.7855,77.7815
657,12.7855,77.7905
658,12.7855,77.7995
659,12.7855,77.8085
660,12.7855,77.8175
661,12.7855,77.8265
662,12.7855,77.8355
663,12.7855,77.8445
664,12.7855,77.8535
665,12.7855,77.8625
666,12.7855,77.8715
667,12.7855,77.8805
668,12.7855,77.8895
669,12.7855,77.8985
670,12.7945,77.3045
671,12.7945,77.3135
672,12.7945,77.3225
673,12.7945,77.3315
674,12.7945,77.3405
675,12.7945,77.3495
676,12.7945,77.3585
677,12.7945,77.3675
678,12.7945,77.3765
679,12.7945,77.3855
680,12.7945,77.3945
681,12.7945,77.4035
682,12.7945,77.4125
683,12.7945,77.4215
684,12.7945,77.4305
685,12.7945,77.4395
686,12.7945,77.4485
687,12.7945,77.4575
688,12.7945,77.4665
689,12.7945,77.4755
690,12.7945,77.4845
691,12.7945,77.4935
692,12.7945,77.5025
693,12.7945,77.5115
694,12.7945,77.5205
695,12.7945,77.5295
696,12.7945,77.5385
697,12.7945,77.5475
698,12.7945,77.5565
699,12.7945,77.5655
700,12.7945,77.5745
701,12.7945,77.5835
702,12.7945,77.5925
703,12.7945,77.6015
704,12.7945,77.6105
705,12.7945,77.6195
706,12.7945,77.6285
707,12.7945,77.6375
708,12.7945,77.6465
709,12.7945,77.6555
710,12.7945,77.6645
711,12.7945,77.6735
712,12.7945,77.6825
713,12.7945,77.6915
714,12.7945,77.7005
715,12.7945,77.7095
716,12.7945,77.7185
717,12.7945,77.7275
718,12.7945,77.7365
719,12.7945,77.7455
720,12.7945,77.7545
721,12.7945,77.7635
722,12.7945,77.7725
723,12.7945,77.7815
724,12.7945,77.7905
725,12.7945,77.7995
726,12.7945,77.8085
727,12.7945,77.8175
728,12.7945,77.8265
729,12.7945,77.8355
730,12.7945,77.8445
731,12.7945,77.8535
732,12.7945,77.8625
733,12.7945,77.8715
734,12.7945,77.8805
735,12.7945,77.8895
736,12.7945,77.8985
737,12.8035,77.3045
738,12.8035,77.3135
739,12.8035,77.3225
740,12.8035,77.3315
741,12.8035,77.3405
742,12.8035,77.3495
743,12.8035,77.3585
744,12.8035,77.3675
745,12.8035,77.3765
746,12.8035,77.3855
747,12.8035,77.3945
748,12.8035,77.4035
749,12.8035,77.4125
750,12.8035,77.4215
751,12.8035,77.4305
752,12.8035,77.4395
753,12.8035,77.4485
754,12.8035,77.4575
755,12.8035,77.4665
756,12.8035,77.4755
757,12.8035,77.4845
758,12.8035,77.4935
759,12.8035,77.5025
760,12.8035,77.5115
761,12.8035,77.5205
762,12.8035,77.5295
763,12.8035,77.5385
764,12.8035,77.5475
765,12.8035,77.5565
766,12.8035,77.5655
767,12.8035,77.5745
768,12.8035,77.5835
769,12.8035,77.5925
770,12.8035,77.6015
771,12.8035,77.6105
772,12.8035,77.6195
773,12.8035,77.6285
774,12.8035,77.6375
775,12.8035,77.6465
776,12.8035,77.6555
777,12.8035,77.6645
778,12.8035,77.6735
779,12.8035,77.6825
780,12.8035,77.6915
781,12.8035,77.7005
782,12.8035,77.7095
783,12.8035,77.7185
784,12.8035,77.7275
785,12.8035,77.7365
786,12.8035,77.7455
787,12.8035,77.7545
788,12.8035,77.7635
789,12.8035,77.7725
790,12.8035,77.7815
791,12.8035,77.7905
792,12.8035,77.7995
793,12.8035,77.8085
794,12.8035,77.8175
795,12.8035,77.8265
796,12.8035,77.8355
797,12.8035,77.8445
798,12.8035,77.8535
799,12.8035,77.8625
800,12.8035,77.8715
801,12.8035,77.8805
802,12.8035,77.8895
803,12.8035,77.8985
804,12.8125,77.3045
805,12.8125,77.3135
806,12.8125,77.3225
807,12.8125,77.3315
808,12.8125,77.3405
809,12.8125,77.3495
