cell_id,road_length_km,building_count
213,9.6112,0
214,16.4013,0
215,12.4915,0
216,13.9086,0
217,12.4245,0
218,9.3187,0
219,8.8822,0
220,8.3351,0
221,17.4147,9
222,16.2696,2
223,2.1804,0
224,10.1484,0
225,16.7924,0
226,3.8328,0
227,0.0,0
228,7.3932,0
229,0.0,0
230,0.0,0
231,8.0877,0
232,20.1679,0
233,8.8583,0
234,11.6836,3
235,7.929,0
236,3.1297,0
237,7.5976,1
238,17.6428,1
239,6.3127,0
240,15.6112,0
241,18.12,0
242,16.6493,0
243,12.5318,0
244,9.8155,0
245,19.6578,0
246,9.8947,6
247,5.9174,0
248,13.5444,0
249,15.9396,0
250,1.7219,0
251,8.3884,0
252,0.0,0
253,0.3325,0
254,12.6207,2
255,7.1314,18
256,17.5253,0
257,51.0099,15
258,34.697,39
259,36.8468,14
260,40.1931,2
261,42.6003,2
262,22.6833,1
263,12.3852,0
264,14.1994,0
265,14.4269,1
266,14.8044,0
267,7.4794,0
268,13.9504,0
269,18.7095,0
270,5.9819,0
271,0.0,0
272,0.0,0
273,1.7138,0
274,4.8874,0
275,9.0797,0
276,18.9747,9
277,14.011,8
278,15.0339,0
279,14.6826,0
280,15.2662,0
281,11.0752,0
282,13.9503,0
283,8.5668,0
284,13.0858,0
285,9.6569,0
286,9.9271,0
287,15.3371,0
288,20.4753,48
289,14.0254,1
290,4.4878,2
291,0.0,0
292,9.1185,0
293,5.0625,0
294,4.7759,0
295,4.7759,0
296,0.0,0
297,0.0,0
298,9.6146,0
299,4.4564,0
300,4.5501,0
301,9.5589,0
302,3.6867,0
303,0.0,0
304,0.0,0
305,9.3376,0
306,10.5754,0
307,3.8728,0
308,28.1259,0
309,29.339,0
310,20.2578,0
311,9.0617,0
312,15.4976,0
313,6.5937,5
314,9.1786,0
315,12.9694,8
316,14.2893,2
317,11.9062,0
318,10.6188,0
319,4.8119,0
320,2.043,0
321,8.7274,4
322,8.6283,10
323,25.2975,0
324,40.1685,1
325,34.8815,4
326,50.0897,5
327,36.9903,3
328,20.2443,9
329,23.4619,0
330,19.2375,0
331,15.5802,0
332,12.0465,0
333,12.376,0
334,8.9189,0
335,1.8203,0
336,14.4962,0
337,14.2037,0
338,7.7875,1
339,8.5573,0
340,10.2506,0
341,8.0898,0
342,14.174,0
343,14.2146,13
344,14.9847,11
345,7.7375,0
346,6.7359,0
347,7.1463,0
348,23.0203,1
349,9.4636,0
350,8.4974,0
351,14.7753,10
352,4.2146,0
353,8.7335,0
354,15.6454,0
355,18.54,3
356,12.671,0
357,11.1491,0
358,8.9909,0
359,6.8826,0
360,10.4115,0
361,14.4644,0
362,0.0,0
363,0.0,0
364,0.0,0
365,12.8856,0
366,3.5842,1
367,0.0,0
368,0.9639,0
369,12.3332,0
370,14.0222,0
371,4.9769,0
372,15.918,0
373,24.1483,0
374,15.1345,1
375,21.0347,1
376,21.7302,0
377,32.5761,69
378,22.5239,0
379,14.3797,0
380,19.4667,1
381,15.4433,0
382,16.0069,4
383,10.0757,14
384,25.6417,0
385,9.203,0
386,8.979,0
387,9.7891,0
388,19.2601,0
389,17.4763,1
390,52.2993,3
391,20.5878,4
392,28.7938,0
393,48.2777,0
394,49.4345,4
395,31.0786,2
396,11.789,0
397,9.1693,0
398,23.3719,0
399,10.9317,0
400,17.5815,0
401,1.9995,0
402,0.0,0
403,4.8774,0
404,34.752,0
