cell_id,center_lat,center_lon,ndvi_2015,ndvi_2018,ndvi_2021,ndvi_2024,ndvi_change_2015_2018,ndvi_change_2018_2021,ndvi_change_2021_2024,ndvi_total_change,rainfall_2015,rainfall_2016,rainfall_2017,rainfall_2018,rainfall_2019,rainfall_2020,rainfall_2021,rainfall_2022,rainfall_2023,rainfall_2024,rainfall_mean,rainfall_anomaly,road_length_km,building_count,gbif_observations,gbif_species_count,dist_to_cbd_km,zone,ndvi_mean,ndvi_std,ndvi_min,ndvi_accel,vegetation_stressed,fragmentation_index,infra_pressure,urban_proximity_score,rainfall_stress,biodiversity_density,lag_stress_score,ecological_vulnerability_score,degradation_label
24,12.7045,77.5205,,,,,,,,,1194.9193771626296,715.0989619377161,1027.3643598615918,898.6910034602075,924.7795847750865,1157.3391003460208,1377.430103806228,1143.6076124567476,765.6878892733565,1085.0363321799307,1028.9954325259516,56.040899653979245,0.0,0,0.0,0.0,30.7147,rural,,,,,0,0.0,0.0,0.031531,0,0.0,0.0,0.0,nan
25,12.7045,77.5295,,,,,,,,,1179.8,691.4,1231.8,1022.7,973.2,1160.4,1482.1,1346.4,854.6,1240.4,1118.28,122.12000000000012,0.0,0,0.0,0.0,30.4746,rural,,,,,0,0.0,0.0,0.031772,0,0.0,0.0,0.0,nan
26,12.7045,77.5385,,,,,,,,,1194.9193771626296,715.0989619377161,1027.3643598615918,898.6910034602075,924.7795847750865,1157.3391003460208,1377.430103806228,1143.6076124567476,765.6878892733565,1085.0363321799307,1028.9954325259516,56.040899653979245,0.0,0,0.0,0.0,30.264,rural,,,,,0,0.0,0.0,0.031986,0,0.0,0.0,0.0,nan
27,12.7045,77.5475,,,,,,,,,1194.9193771626296,715.0989619377161,1027.3643598615918,898.6910034602075,924.7795847750865,1157.3391003460208,1377.430103806228,1143.6076124567476,765.6878892733565,1085.0363321799307,1028.9954325259516,56.040899653979245,0.0,0,0.0,0.0,30.0836,rural,,,,,0,0.0,0.0,0.032171,0,0.0,0.0,0.0,nan
28,12.7045,77.5565,,,,,,,,,1194.9193771626296,715.0989619377161,1027.3643598615918,898.6910034602075,924.7795847750865,1157.3391003460208,1377.430103806228,1143.6076124567476,765.6878892733565,1085.0363321799307,1028.9954325259516,56.040899653979245,0.0,0,0.0,0.0,29.9338,rural,,,,,0,0.0,0.0,0.032327,0,0.0,0.0,0.0,nan
29,12.7045,77.5655,,,,,,,,,1194.9193771626296,715.0989619377161,1027.3643598615918,898.6910034602075,924.7795847750865,1157.3391003460208,1377.430103806228,1143.6076124567476,765.6878892733565,1085.0363321799307,1028.9954325259516,56.040899653979245,0.0,0,0.0,0.0,29.8151,rural,,,,,0,0.0,0.0,0.032452,0,0.0,0.0,0.0,nan
30,12.7045,77.5745,,,,,,,,,1179.8,691.4,1192.2,1009.5,960.4,1229.8,1364.1,1305.7,821.7,1257.1,1101.17,155.92999999999984,0.0,0,1592.0,92.0,29.7279,rural,,,,,0,0.0,0.0,0.032544,0,17.3043,0.0,0.0,nan
31,12.7045,77.5835,,,,,,,,,1194.9193771626296,715.0989619377161,1027.3643598615918,898.6910034602075,924.7795847750865,1157.3391003460208,1377.430103806228,1143.6076124567476,765.6878892733565,1085.0363321799307,1028.9954325259516,56.040899653979245,0.0,0,0.0,0.0,29.6725,rural,,,,,0,0.0,0.0,0.032602,0,0.0,0.0,0.0,nan
32,12.7045,77.5925,,,,,,,,,1194.9193771626296,715.0989619377161,1027.3643598615918,898.6910034602075,924.7795847750865,1157.3391003460208,1377.430103806228,1143.6076124567476,765.6878892733565,1085.0363321799307,1028.9954325259516,56.040899653979245,0.0,0,0.0,0.0,29.649,rural,,,,,0,0.0,0.0,0.032627,0,0.0,0.0,0.0,nan
33,12.7045,77.6015,,,,,,,,,1194.9193771626296,715.0989619377161,1027.3643598615918,898.6910034602075,924.7795847750865,1157.3391003460208,1377.430103806228,1143.6076124567476,765.6878892733565,1085.0363321799307,1028.9954325259516,56.040899653979245,0.0,0,0.0,0.0,29.6575,rural,,,,,0,0.0,0.0,0.032618,0,0.0,0.0,0.0,nan
