cell_id,center_lat,center_lon,ndvi_2018,ndvi_2021,ndvi_2024,ndvi_change_2015_2018,ndvi_change_2018_2021,ndvi_change_2021_2024,ndvi_total_change,ndvi_mean,ndvi_std,ndvi_accel,fragmentation_index,road_length_km,building_count,infra_pressure,urban_proximity_score,dist_to_cbd_km,rainfall_anomaly,rainfall_stress,gbif_observations,gbif_species_count,biodiversity_density,lag_stress_score,ecological_vulnerability_score,degradation_label
28,12.7045,77.5565,0.2576,0.4007,0.21565,-0.2829,0.0907,-0.17949999999999994,-0.33114999999999994,0.29131666666666667,0.09702312009687863,-0.27019999999999994,0.333,0.0,0,0.0,0.032327,29.9338,56.040899653979245,0,0.0,0.0,0.0,0.0849,0.1664,stable
29,12.7045,77.5655,0.2576,0.4007,0.21565,-0.2829,0.0907,-0.17949999999999994,-0.33114999999999994,0.29131666666666667,0.09702312009687863,-0.27019999999999994,0.333,12.6439,0,0.0784,0.032452,29.8151,56.040899653979245,0,0.0,0.0,0.0,0.1162,0.186,stable
30,12.7045,77.5745,0.2576,0.4007,0.21565,-0.2829,0.0907,-0.17949999999999994,-0.33114999999999994,0.29131666666666667,0.09702312009687863,-0.27019999999999994,0.333,8.8583,0,0.0549,0.032544,29.7279,155.92999999999984,0,1592.0,92.0,17.3043,0.1068,0.1802,stable
31,12.7045,77.5835,0.2576,0.4007,0.21565,-0.2829,0.0907,-0.17949999999999994,-0.33114999999999994,0.29131666666666667,0.09702312009687863,-0.27019999999999994,0.333,0.0,0,0.0,0.032602,29.6725,56.040899653979245,0,0.0,0.0,0.0,0.0849,0.1665,stable
32,12.7045,77.5925,0.2576,0.4007,0.21565,-0.2829,0.0907,-0.17949999999999994,-0.33114999999999994,0.29131666666666667,0.09702312009687863,-0.27019999999999994,0.333,0.0,0,0.0,0.032627,29.649,56.040899653979245,0,0.0,0.0,0.0,0.0849,0.1665,stable
33,12.7045,77.6015,0.2576,0.4007,0.21565,-0.2829,0.0907,-0.17949999999999994,-0.33114999999999994,0.29131666666666667,0.09702312009687863,-0.27019999999999994,0.333,0.0,0,0.0,0.032618,29.6575,56.040899653979245,0,0.0,0.0,0.0,0.0849,0.1665,stable
34,12.7045,77.6105,0.2576,0.4007,0.21565,-0.2829,0.0907,-0.17949999999999994,-0.33114999999999994,0.29131666666666667,0.09702312009687863,-0.27019999999999994,0.333,0.0,0,0.0,0.032575,29.698,56.040899653979245,0,0.0,0.0,0.0,0.0849,0.1665,stable
35,12.7045,77.6195,0.2576,0.4007,0.21565,-0.2829,0.0907,-0.17949999999999994,-0.33114999999999994,0.29131666666666667,0.09702312009687863,-0.27019999999999994,0.333,0.0,0,0.0,0.032499,29.7704,155.92999999999984,0,0.0,0.0,0.0,0.0849,0.1665,stable
36,12.7045,77.6285,0.2576,0.4007,0.21565,-0.2829,0.0907,-0.17949999999999994,-0.33114999999999994,0.29131666666666667,0.09702312009687863,-0.27019999999999994,0.333,0.0,0,0.0,0.032389,29.8745,56.040899653979245,0,0.0,0.0,0.0,0.0849,0.1664,stable
37,12.7045,77.6375,0.2576,0.4007,0.21565,-0.2829,0.0907,-0.17949999999999994,-0.33114999999999994,0.29131666666666667,0.09702312009687863,-0.27019999999999994,0.333,0.0,0,0.0,0.032248,30.0098,56.040899653979245,0,0.0,0.0,0.0,0.0849,0.1664,stable
